annealing_time,query_graph_type,num_relations,sample_index,valid_solution_ratio,optimal_solution_ratio
60,CYCLE,5,4,0.0,0.0
60,CYCLE,5,5,0.0,0.0
60,CYCLE,5,6,0.0,0.0
60,CYCLE,5,7,0.0,0.0
60,CYCLE,5,8,0.0,0.0
60,CYCLE,5,9,0.0,0.0
60,CYCLE,5,10,0.0,0.0
60,CYCLE,5,11,0.001,0.0
60,CYCLE,5,12,0.0,0.0
60,CYCLE,5,13,0.0,0.0
60,CYCLE,5,14,0.0,0.0
60,CYCLE,5,15,0.0,0.0
60,CYCLE,5,16,0.0,0.0
60,CYCLE,5,17,0.0,0.0
60,CYCLE,5,18,0.0,0.0
60,CYCLE,5,19,0.0,0.0
100,CYCLE,3,0,0.264,0.044
100,CYCLE,3,1,0.298,0.125
100,CYCLE,3,2,0.264,0.087
100,CYCLE,3,3,0.259,0.108
100,CYCLE,3,4,0.282,0.123
100,CYCLE,3,5,0.258,0.1
100,CYCLE,3,6,0.233,0.1
100,CYCLE,3,7,0.291,0.076
100,CYCLE,3,8,0.265,0.1
100,CYCLE,3,9,0.282,0.118
100,CYCLE,3,10,0.279,0.081
100,CYCLE,3,11,0.28,0.09
100,CYCLE,3,12,0.247,0.085
100,CYCLE,3,13,0.276,0.101
100,CYCLE,3,14,0.265,0.107
100,CYCLE,3,15,0.283,0.115
100,CYCLE,3,16,0.274,0.115
100,CYCLE,3,17,0.266,0.092
100,CYCLE,3,18,0.285,0.114
100,CYCLE,3,19,0.292,0.146
100,CYCLE,4,0,0.026,0.0
100,CYCLE,4,1,0.042,0.007
100,CYCLE,4,2,0.032,0.001
100,CYCLE,4,3,0.027,0.002
100,CYCLE,4,4,0.034,0.004
100,CYCLE,4,5,0.039,0.006
100,CYCLE,4,6,0.028,0.006
100,CYCLE,4,7,0.03,0.004
100,CYCLE,4,8,0.03,0.002
100,CYCLE,4,9,0.029,0.002
100,CYCLE,4,10,0.029,0.004
100,CYCLE,4,11,0.037,0.005
100,CYCLE,4,12,0.024,0.003
100,CYCLE,4,13,0.041,0.005
100,CYCLE,4,14,0.033,0.004
100,CYCLE,4,15,0.028,0.004
100,CYCLE,4,16,0.04,0.003
100,CYCLE,4,17,0.035,0.002
100,CYCLE,4,18,0.03,0.003
100,CYCLE,4,19,0.025,0.004
100,CYCLE,5,0,0.0,0.0
100,CYCLE,5,1,0.001,0.0
100,CYCLE,5,2,0.0,0.0
100,CYCLE,5,3,0.0,0.0
100,CYCLE,5,4,0.0,0.0
100,CYCLE,5,5,0.001,0.0
100,CYCLE,5,6,0.0,0.0
100,CYCLE,5,7,0.001,0.0
100,CYCLE,5,8,0.0,0.0
100,CYCLE,5,9,0.0,0.0
100,CYCLE,5,10,0.001,0.0
100,CYCLE,5,11,0.001,0.0
100,CYCLE,5,12,0.0,0.0
100,CYCLE,5,13,0.0,0.0
100,CYCLE,5,14,0.0,0.0
100,CYCLE,5,15,0.0,0.0
100,CYCLE,5,16,0.0,0.0
100,CYCLE,5,17,0.0,0.0
100,CYCLE,5,18,0.001,0.0
100,CYCLE,5,19,0.0,0.0
