num_relations,num_threshold_values,num_decimal_pos,query_graph_type,sample_index,num_phys_qubits
8,2,2,STAR,18,1750
8,2,2,STAR,19,1677
8,2,2,CYCLE,0,1852
8,2,2,CYCLE,1,1647
8,2,2,CYCLE,2,1867
8,2,2,CYCLE,3,1771
8,2,2,CYCLE,4,1885
8,2,2,CYCLE,5,1798
8,2,2,CYCLE,6,1777
8,2,2,CYCLE,7,1764
8,2,2,CYCLE,8,1823
8,2,2,CYCLE,9,1758
8,2,2,CYCLE,10,1772
8,2,2,CYCLE,11,1779
8,2,2,CYCLE,12,1813
8,2,2,CYCLE,13,1879
8,2,2,CYCLE,14,1754
8,2,2,CYCLE,15,1707
8,2,2,CYCLE,16,1735
8,2,2,CYCLE,17,1889
8,2,2,CYCLE,18,1635
8,2,2,CYCLE,19,1858
8,2,4,CHAIN,0,2462
8,2,4,CHAIN,1,2636
8,2,4,CHAIN,2,2922
8,2,4,CHAIN,3,2621
8,2,4,CHAIN,4,2731
8,2,4,CHAIN,5,2481
8,2,4,CHAIN,6,2764
8,2,4,CHAIN,7,2486
8,2,4,CHAIN,8,2609
8,2,4,CHAIN,9,2499
8,2,4,CHAIN,10,2349
8,2,4,CHAIN,11,2603
8,2,4,CHAIN,12,2500
8,2,4,CHAIN,13,2486
8,2,4,CHAIN,14,2478
8,2,4,CHAIN,15,2436
8,2,4,CHAIN,16,2502
8,2,4,CHAIN,17,3020
8,2,4,CHAIN,18,2713
8,2,4,CHAIN,19,2460
8,2,4,STAR,0,2374
8,2,4,STAR,1,2546
8,2,4,STAR,2,2567
8,2,4,STAR,3,2502
8,2,4,STAR,4,2655
8,2,4,STAR,5,2484
8,2,4,STAR,6,2517
8,2,4,STAR,7,2426
8,2,4,STAR,8,2497
8,2,4,STAR,9,2745
8,2,4,STAR,10,2460
8,2,4,STAR,11,2551
8,2,4,STAR,12,2338
8,2,4,STAR,13,2563
8,2,4,STAR,14,2575
8,2,4,STAR,15,2507
8,2,4,STAR,16,2436
8,2,4,STAR,17,2609
8,2,4,STAR,18,2434
8,2,4,STAR,19,2406
8,2,4,CYCLE,0,2544
8,2,4,CYCLE,1,2577
8,2,4,CYCLE,2,2745
8,2,4,CYCLE,3,2404
8,2,4,CYCLE,4,2725
8,2,4,CYCLE,5,2458
8,2,4,CYCLE,6,2453
8,2,4,CYCLE,7,2574
8,2,4,CYCLE,8,2836
8,2,4,CYCLE,9,2617
8,2,4,CYCLE,10,2579
8,2,4,CYCLE,11,2536
8,2,4,CYCLE,12,2639
8,2,4,CYCLE,13,2610
8,2,4,CYCLE,14,2846
8,2,4,CYCLE,15,2539
8,2,4,CYCLE,16,2568
8,2,4,CYCLE,17,2564
8,2,4,CYCLE,18,2660
8,2,4,CYCLE,19,2563
8,3,0,CHAIN,0,1043
8,3,0,CHAIN,1,1044
8,3,0,CHAIN,2,974
8,3,0,CHAIN,3,1088
8,3,0,CHAIN,4,991
8,3,0,CHAIN,5,1137
8,3,0,CHAIN,6,979
8,3,0,CHAIN,7,1059
8,3,0,CHAIN,8,1087
8,3,0,CHAIN,9,1085
8,3,0,CHAIN,10,952
8,3,0,CHAIN,11,989
8,3,0,CHAIN,12,1073
8,3,0,CHAIN,13,1146
8,3,0,CHAIN,14,1066
8,3,0,CHAIN,15,994
8,3,0,CHAIN,16,1118
8,3,0,CHAIN,17,994
8,3,0,CHAIN,18,1060
8,3,0,CHAIN,19,953
8,3,0,STAR,0,1033
8,3,0,STAR,1,1038
8,3,0,STAR,2,982
8,3,0,STAR,3,984
8,3,0,STAR,4,1000
8,3,0,STAR,5,1025
8,3,0,STAR,6,1119
8,3,0,STAR,7,1007
8,3,0,STAR,8,1020
8,3,0,STAR,9,1179
8,3,0,STAR,10,1007
8,3,0,STAR,11,1068
8,3,0,STAR,12,1041
8,3,0,STAR,13,1120
8,3,0,STAR,14,933
8,3,0,STAR,15,1019
8,3,0,STAR,16,1102
8,3,0,STAR,17,1100
8,3,0,STAR,18,996
8,3,0,STAR,19,1062
8,3,0,CYCLE,0,1073
8,3,0,CYCLE,1,1115
8,3,0,CYCLE,2,1097
8,3,0,CYCLE,3,1043
8,3,0,CYCLE,4,1068
8,3,0,CYCLE,5,1084
8,3,0,CYCLE,6,1026
8,3,0,CYCLE,7,1012
8,3,0,CYCLE,8,971
8,3,0,CYCLE,9,993
8,3,0,CYCLE,10,1062
8,3,0,CYCLE,11,1092
8,3,0,CYCLE,12,1161
8,3,0,CYCLE,13,1015
8,3,0,CYCLE,14,1133
8,3,0,CYCLE,15,1076
8,3,0,CYCLE,16,1185
8,3,0,CYCLE,17,1079
8,3,0,CYCLE,18,1001
8,3,0,CYCLE,19,1015
8,3,2,CHAIN,0,2311
8,3,2,CHAIN,1,2187
8,3,2,CHAIN,2,2146
8,3,2,CHAIN,3,2050
8,3,2,CHAIN,4,2164
8,3,2,CHAIN,5,2057
8,3,2,CHAIN,6,2082
8,3,2,CHAIN,7,2315
8,3,2,CHAIN,8,2116
8,3,2,CHAIN,9,2098
8,3,2,CHAIN,10,2089
8,3,2,CHAIN,11,2291
8,3,2,CHAIN,12,2374
8,3,2,CHAIN,13,2203
8,3,2,CHAIN,14,2262
8,3,2,CHAIN,15,2354
8,3,2,CHAIN,16,2345
8,3,2,CHAIN,17,2046
8,3,2,CHAIN,18,2400
8,3,2,CHAIN,19,2340
8,3,2,STAR,0,2338
8,3,2,STAR,1,2108
8,3,2,STAR,2,2348
8,3,2,STAR,3,2112
8,3,2,STAR,4,2191
8,3,2,STAR,5,2024
8,3,2,STAR,6,2039
8,3,2,STAR,7,2131
8,3,2,STAR,8,2223
8,3,2,STAR,9,2260
8,3,2,STAR,10,2075
8,3,2,STAR,11,2082
8,3,2,STAR,12,2042
8,3,2,STAR,13,2231
8,3,2,STAR,14,2265
8,3,2,STAR,15,2081
8,3,2,STAR,16,2007
8,3,2,STAR,17,2318
8,3,2,STAR,18,2251
8,3,2,STAR,19,2270
8,3,2,CYCLE,0,2290
8,3,2,CYCLE,1,2236
8,3,2,CYCLE,2,2516
8,3,2,CYCLE,3,2248
8,3,2,CYCLE,4,2220
8,3,2,CYCLE,5,2160
8,3,2,CYCLE,6,2397
8,3,2,CYCLE,7,2279
8,3,2,CYCLE,8,2230
8,3,2,CYCLE,9,2203
8,3,2,CYCLE,10,2255
8,3,2,CYCLE,11,2293
8,3,2,CYCLE,12,2415
8,3,2,CYCLE,13,2180
8,3,2,CYCLE,14,2573
8,3,2,CYCLE,15,2387
8,3,2,CYCLE,16,2253
8,3,2,CYCLE,17,2255
8,3,2,CYCLE,18,2161
8,3,2,CYCLE,19,2194
8,3,4,CHAIN,0,3444
8,3,4,CHAIN,1,3625
8,3,4,CHAIN,2,3446
8,3,4,CHAIN,3,3435
8,3,4,CHAIN,4,3525
8,3,4,CHAIN,5,3780
8,3,4,CHAIN,6,3458
8,3,4,CHAIN,7,3696
8,3,4,CHAIN,8,3567
8,3,4,CHAIN,9,3537
8,3,4,CHAIN,10,3428
8,3,4,CHAIN,11,3757
8,3,4,CHAIN,12,3590
8,3,4,CHAIN,13,3505
8,3,4,CHAIN,14,3564
8,3,4,CHAIN,15,3299
8,3,4,CHAIN,16,3648
8,3,4,CHAIN,17,3394
8,3,4,CHAIN,18,3622
8,3,4,CHAIN,19,3593
8,3,4,STAR,0,3576
8,3,4,STAR,1,3385
8,3,4,STAR,2,3435
8,3,4,STAR,3,3438
8,3,4,STAR,4,3463
8,3,4,STAR,5,3343
8,3,4,STAR,6,3450
8,3,4,STAR,7,3458
8,3,4,STAR,8,3450
8,3,4,STAR,9,3566
8,3,4,STAR,10,3646
8,3,4,STAR,11,3247
8,3,4,STAR,12,3463
8,3,4,STAR,13,3468
8,3,4,STAR,14,3607
8,3,4,STAR,15,3317
8,3,4,STAR,16,3317
8,3,4,STAR,17,3361
8,3,4,STAR,18,3653
8,3,4,STAR,19,3393
8,3,4,CYCLE,0,3938
8,3,4,CYCLE,1,3912
8,3,4,CYCLE,2,4109
8,3,4,CYCLE,3,3305
8,3,4,CYCLE,4,3617
8,3,4,CYCLE,5,3568
8,3,4,CYCLE,6,3681
8,3,4,CYCLE,7,3623
8,3,4,CYCLE,8,3949
8,3,4,CYCLE,9,3563
8,3,4,CYCLE,10,3855
8,3,4,CYCLE,11,3930
8,3,4,CYCLE,12,3727
8,3,4,CYCLE,13,3818
8,3,4,CYCLE,14,3657
8,3,4,CYCLE,15,4003
8,3,4,CYCLE,16,3646
8,3,4,CYCLE,17,3581
8,3,4,CYCLE,18,3855
8,3,4,CYCLE,19,3984
8,4,0,CHAIN,0,1100
8,4,0,CHAIN,1,1209
8,4,0,CHAIN,2,1118
8,4,0,CHAIN,3,1205
8,4,0,CHAIN,4,1165
8,4,0,CHAIN,5,1178
8,4,0,CHAIN,6,1200
8,4,0,CHAIN,7,1158
8,4,0,CHAIN,8,1183
8,4,0,CHAIN,9,1363
